2026-08-09 01:22:27 -  1 - 08 - INFO - Returned settings: Ok(Settings { path: Some("/home/yong/.espressif"), idf_path: None, esp_idf_json_path: Some("/home/yong/.espressif/tools"), tool_download_folder_name: Some("/home/yong/.espressif/dist"), tool_install_folder_name: Some("/home/yong/.espressif/tools"), target: Some(["esp32s3"]), idf_versions: Some(["v5.3.2"]), tools_json_file: Some("tools/tools.json"), config_file: None, config_file_save_path: Some("eim_config.toml"), non_interactive: Some(true), wizard_all_questions: Some(false), mirror: Some("https://github.com"), idf_mirror: Some("https://github.com"), pypi_mirror: Some("https://pypi.org/simple"), recurse_submodules: Some(true), install_all_prerequisites: Some(false), idf_features: None, idf_features_per_version: None, idf_tools: None, idf_tools_per_version: None, repo_stub: None, skip_prerequisites_check: Some(false), version_name: None, cleanup: Some(true), python_env_folder_name: Some("python"), use_local_archive: None, activation_script_path_override: Some("/home/yong/.espressif/tools"), python_version_override: Some("python313") })
2026-08-09 01:23:44 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/protobuf-c/protobuf-c before init: []
2026-08-09 01:23:44 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/protobuf-c/protobuf-c
2026-08-09 01:23:44 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/protobuf-c/protobuf-c
2026-08-09 01:23:44 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/protobuf-c/protobuf-c
2026-08-09 01:23:45 -  1 - 08 - INFO - ✓ Submodule complete: components/protobuf-c/protobuf-c
2026-08-09 01:23:45 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/protobuf-c/protobuf-c
2026-08-09 01:23:45 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/unity
2026-08-09 01:23:45 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/unity/unity
2026-08-09 01:23:45 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/unity/unity before init: []
2026-08-09 01:23:45 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/unity/unity
2026-08-09 01:23:45 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/unity/unity
2026-08-09 01:23:45 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/unity/unity
2026-08-09 01:23:47 -  1 - 08 - INFO - ✓ Submodule complete: components/unity/unity
2026-08-09 01:23:47 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/unity/unity
2026-08-09 01:23:47 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/host/nimble
2026-08-09 01:23:47 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/host/nimble/nimble
2026-08-09 01:23:47 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/host/nimble/nimble before init: []
2026-08-09 01:23:47 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/host/nimble/nimble
2026-08-09 01:23:47 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/host/nimble/nimble
2026-08-09 01:23:47 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/host/nimble/nimble
2026-08-09 01:23:49 -  1 - 08 - INFO - ✓ Submodule complete: components/bt/host/nimble/nimble
2026-08-09 01:23:49 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/bt/host/nimble/nimble
2026-08-09 01:23:49 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/esp_wifi
